Name,Wins,Losses,Draws,Height,Reach,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
Tafon Nchukwi,6,4,0,72.0,"77""",5.57,52%,4.11,54%,0.76,57%,64%,0.0
Soichi Nishida,5,10,1,71.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Ismail Naurdiev,24,8,0,70.0,"74""",3.69,52%,1.77,64%,1.50,40%,73%,0.2
Tyson Nam,21,14,1,67.0,"68""",3.87,33%,4.97,65%,0.00,0%,87%,0.0
Yukiya Naito,15,6,2,73.0,--,1.54,33%,5.13,60%,0.00,0%,0%,0.0
Rin Nakai,19,2,1,61.0,--,1.57,33%,3.90,60%,3.00,18%,75%,0.5
KJ Noons,13,9,0 (1 NC),70.0,"70""",3.68,35%,3.78,65%,0.08,20%,68%,0.0
Rogerio Nogueira,23,10,0,74.0,"75""",2.43,35%,2.34,59%,0.64,44%,62%,0.8
Rinya Nakamura,9,1,0,67.0,"68""",3.10,51%,1.70,64%,2.63,81%,100%,1.5
Ben Nguyen,16,8,0,65.0,"65""",3.51,40%,3.01,59%,0.25,33%,63%,1.0
Nghiem Van Y,6,1,0,67.0,"68""",4.19,66%,1.65,66%,0.00,0%,80%,0.0
Danny Navarro,17,7,0,70.0,--,3.83,32%,4.62,57%,2.17,25%,100%,0.0
Shayilan Nuerdanbieke,39,12,0,68.0,"69""",1.95,45%,2.64,50%,3.30,35%,28%,0.2
Steven Nguyen,9,2,0,71.0,"73""",7.15,40%,7.36,60%,0.28,100%,84%,0.0
Daisuke Nakamura,28,19,1,67.0,--,0.94,30%,1.38,61%,0.46,40%,30%,3.6
Mario Neto,13,5,0,72.0,--,1.89,50%,1.89,70%,2.84,100%,0%,0.0
Gunnar Nelson,19,6,1,71.0,"72""",1.77,61%,3.06,48%,2.00,52%,68%,1.0
Abubakar Nurmagomedov,17,4,1,71.0,"72""",2.78,53%,2.61,65%,1.25,22%,88%,0.0
Antonio Braga Neto,9,3,0 (1 NC),75.0,"77""",1.36,33%,3.92,45%,3.07,37%,0%,0.5
Dustin Neace,25,21,1 (1 NC),69.0,"69""",2.08,32%,2.66,56%,0.00,0%,0%,1.7
Guangyou Ning,5,4,1,64.0,"64""",2.66,41%,1.91,61%,1.09,50%,62%,0.3
Emanuel Newton,26,12,1,73.0,--,1.92,49%,1.35,51%,2.02,100%,0%,0.0
Rafael Natal,21,9,1,72.0,"77""",3.10,47%,2.48,57%,2.55,34%,77%,0.5
Sage Northcutt,11,2,0,72.0,"71""",3.58,52%,1.96,58%,1.81,34%,41%,0.6
Pawel Nastula,5,6,0,72.0,--,1.30,43%,1.73,50%,3.00,60%,0%,1.5
Jutaro Nakao,25,19,4,69.0,--,0.53,38%,1.06,44%,0.38,50%,56%,0.0
Jaimelene Nievera,7,4,0,65.0,--,1.67,53%,8.73,33%,1.79,16%,0%,0.0
Sean O'Haire,4,2,0,77.0,--,8.28,57%,22.76,21%,0.00,0%,0%,0.0
Nobuhiro Obiya,12,5,1,68.0,--,0.63,28%,2.53,55%,0.50,50%,41%,0.5
Jake O'Brien,15,4,0,75.0,"76""",1.31,31%,1.92,69%,6.39,54%,25%,0.2
Casey Olson,14,5,0,67.0,--,2.48,60%,0.00,100%,3.54,57%,100%,1.8
Volkan Oezdemir,20,8,0,74.0,"75""",4.95,48%,4.22,55%,0.50,29%,80%,0.1
Chibwikem Onyenegecha,5,0,0,75.0,--,5.60,55%,3.40,52%,0.00,0%,100%,0.0
Ravena Oliveira,7,2,1,65.0,"65""",1.00,48%,1.20,48%,2.00,66%,62%,0.0
Brendan O'Reilly,6,3,0 (1 NC),67.0,"69""",1.90,47%,2.77,39%,2.22,43%,36%,0.6
Ednaldo Oliveira,17,3,1 (1 NC),77.0,--,1.03,22%,1.80,52%,0.00,0%,42%,0.0
Takayuki Okada,3,3,2,73.0,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
JJ Okanovich,7,1,0,71.0,"76""",6.93,55%,5.27,50%,0.00,0%,100%,0.0
Quemuel Ottoni,12,3,0,72.0,"72""",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Ren Ozaki,6,1,2,67.0,"68""",1.20,35%,1.07,55%,0.00,0%,36%,0.0
Valentijn Overeem,30,32,0,75.0,--,0.93,34%,1.49,58%,1.86,50%,0%,4.7
Kenji Osawa,20,11,2,67.0,"66""",2.34,35%,2.14,63%,0.91,58%,68%,0.7
